image,label,board_id,embedding
preprocessing\preprocessed_data\game2_frame_014348_tile_row1_column3_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row1_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row1_column5_class11.png,11,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row1_column6_class11.png,11,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row1_column7_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column0_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column1_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column2_class11.png,11,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column3_class16.png,16,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column5_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column6_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row2_column7_class11.png,11,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column0_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column1_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column2_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column3_class11.png,11,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column5_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column6_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row3_column7_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column0_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column1_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column2_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column3_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column5_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column6_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row4_column7_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column0_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column1_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column2_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column3_class6.png,6,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column4_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column5_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column6_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row5_column7_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column0_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column1_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column2_class4.png,4,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column3_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column5_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column6_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row6_column7_class1.png,1,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column0_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column1_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column2_class4.png,4,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column3_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column4_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column5_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column6_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014348_tile_row7_column7_class0.png,0,game2_frame_014348,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column2_class14.png,14,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column3_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row0_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column0_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column2_class14.png,14,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column3_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column5_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column6_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row1_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column1_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column2_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column3_class16.png,16,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row2_column7_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column2_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column3_class11.png,11,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row3_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column0_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column1_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column2_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column3_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row4_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column2_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column3_class6.png,6,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column4_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row5_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column2_class4.png,4,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column3_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column5_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column6_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row6_column7_class1.png,1,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column0_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column1_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column2_class4.png,4,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column3_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column4_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column5_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column6_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_014904_tile_row7_column7_class0.png,0,game2_frame_014904,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column2_class14.png,14,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column3_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row0_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column0_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column2_class14.png,14,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column3_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column5_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column6_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row1_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column1_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column2_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column3_class16.png,16,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row2_column7_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column2_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column3_class11.png,11,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row3_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column0_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column1_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column2_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column3_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column6_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row4_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column2_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column3_class6.png,6,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column4_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row5_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column2_class4.png,4,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column3_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column5_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row6_column7_class1.png,1,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column0_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column1_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column2_class4.png,4,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column3_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column4_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column5_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column6_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_016592_tile_row7_column7_class0.png,0,game2_frame_016592,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column2_class14.png,14,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column3_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row0_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column0_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column2_class14.png,14,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column3_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column5_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column6_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row1_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column1_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column2_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column3_class16.png,16,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row2_column7_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column2_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column3_class11.png,11,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row3_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column0_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column1_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column2_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column3_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column6_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row4_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column2_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column3_class6.png,6,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column4_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row5_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column2_class4.png,4,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column3_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column5_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row6_column7_class1.png,1,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column0_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column1_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column2_class4.png,4,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column3_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column4_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column5_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column6_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_018764_tile_row7_column7_class0.png,0,game2_frame_018764,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column0_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column1_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column2_class14.png,14,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column3_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column4_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column5_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column6_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row0_column7_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column0_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column1_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column2_class14.png,14,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column3_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column4_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column5_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column6_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row1_column7_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column0_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column1_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column2_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column3_class16.png,16,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column4_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column5_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column6_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row2_column7_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column0_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column1_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column2_class1.png,1,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column3_class11.png,11,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column4_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column5_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column6_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row3_column7_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column0_class1.png,1,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column1_class1.png,1,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column2_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column3_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column4_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column5_class0.png,0,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column6_class1.png,1,game2_frame_019352,
preprocessing\preprocessed_data\game2_frame_019352_tile_row4_column7_class0.png,0,game2_frame_019352,
